station,lat,lon,depth,temperature,salinity,fluorescence
82,-21.85833333,-40.67805556,4,23.9047,35.9848,0.120453846
83,-21.99166667,-40.45333333,4,24.5397,36.4867,0.120453846
84,-21.98083333,-40.24638889,4,26.2077,36.381,0.120453846
85,-22.10083333,-40.02694444,4,27.5774,36.4618,0.120453846
86,-22.24805556,-39.80833333,4,27.8093,37.2713,0.120453846
1,-25.07361111,-46.81861111,5,27.14,35.627,0.048
3,-25.42555556,-46.4675,5,26.7752,35.9421,0.178
4,-25.36388889,-46.30472222,5,26.3944,35.9456,0.218
5,-25.49083333,-46.12222222,5,26.4086,36.2181,0.146
6,-25.855,-45.95861111,5,25.8171,35.9018,0.135
7,-25.92777778,-45.77944444,5,25.9774,36.9694,0.102
8,-26.01666667,-45.60166667,5,26.7364,37.1111,0.0862
9,-26.09527778,-45.41916667,5,27.1372,37.1362,0.0904
10,-26.30444444,-45.25777778,5,26.8278,37.1439,0.0918
11,-25.86472222,-44.6725,5,26.1907,37.045,0.0962
12,-25.68944444,-44.84972222,5,25.5118,36.6875,0.0916
13,-25.555,-45.05694444,5,25.3559,36.6171,0.0945
14,-25.25944444,-45.21972222,5,25.7617,35.8536,0.121
15,-25.29861111,-45.42888889,5,25.6026,35.8405,0.185
18,-24.81944444,-46.14361111,5,26.1758,34.6131,0.120264286
21,-24.35194444,-45.45111111,5,23.8676,35.6933,0.120264286
22,-24.65805556,-45.27,5,26.1176,35.449,0.120264286
23,-24.64416667,-45.1,5,24.79,36.1009,0.120264286
24,-24.80555556,-44.925,5,25.5019,36.1333,0.120264286
25,-25.08666667,-44.74277778,5,26.776,36.9684,0.120264286
27,-25.37861111,-44.3875,5,26.5931,36.7987,0.120264286
28,-25.49722222,-44.21722222,5,26.7632,36.7666,0.120264286
29,-24.96888889,-43.73722222,5,26.4822,36.837,0.120264286
30,-24.92888889,-43.92583333,5,26.7531,36.8499,0.120264286
31,-24.68138889,-44.10194444,5,26.6981,36.6798,0.120264286
32,-24.42611111,-44.27444444,5,25.4543,36.4204,0.120264286
33,-24.43055556,-44.465,5,23.8718,35.8998,0.120264286
34,-24.10916667,-44.64277778,5,25.3239,35.5973,0.120264286
35,-23.9274788,-44.81777778,5,26.1834,35.4688,0.120264286
